,R-001,R-002,R-003,R-005,R-007,R-008,R-012,R-013,R-014,R-015,R-016,R-017,R-018,R-019,R-020,R-021,R-022,R-023,R-024,R-025,R-026,R-027,R-028,R-043,R-057,R-058,R-059,R-060,R-061,R-062,R-063,R-064,R-066,R-067,R-068,R-069,R-070,R-071,R-072,R-073,R-074,R-075,R-076,R-077,R-078,R-079,R-080,R-083,R-084,R-141,R-142,R-143,R-144,R-145,R-146,R-147,R-148,R-149,R-150,R-152,R-153,R-154,R-155,R-156,R-157,R-158,R-159,R-160,R-161,R-162,R-163,R-164,R-165,R-167,R-197,R-198,R-200,R-201,R-202,R-203,R-204,R-205,R-206,R-207,R-208,R-209,R-210,R-211,R-212,R-213,R-214,R-215,R-216,R-217,R-218,R-219,R-220,R-221,R-222,R-223,R-224,R-281,R-282,R-283,R-284,R-285,R-286,R-287,R-288,R-289,R-291,R-292,R-293,R-294,R-295,R-296,R-297,R-298,R-301,R-302,R-303,R-304,R-305,R-306,R-307,R-308,R-337,R-338,R-340,R-341,R-342,R-343,R-344,R-345,R-346,R-347,R-348,R-350,R-351,R-352,R-354,R-355,R-356,R-357,R-360,R-361,R-363,R-364
R-159,1,1,1,0.38,1,1,0.99,0.84,1,1,1,1,1,1,0.93,1,1,0.84,1,-0.92,0.98,-0.85,1,0.85,1,1,1,1,0.97,1,0.97,0.98,1,1,1,0.99,1,0.99,1,0.06,1,1,1,1,1,1,1,1,1,1,1,0.74,1,0.02,1,0.99,1,0.7,1,0.99,1,0.7,1,0.92,1,1,0,1,1,1,1,1,1,1,1,-0.43,0.96,1,1,1,1,0.71,1,1,1,1,1,1,0.98,1,1,1,1,0.72,0.64,0.87,1,1,1,1,1,1,0.92,1,1,0.78,1,1,1,1,1,1,1,1,1,1,1,1,-1,0.93,1,1,1,1,1,0.99,1,1,-1,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,0.93,1,1,1,1
R-160,0.79,1,1,-1,1,1,1,1,1,1,1,0.19,1,1,1,1,1,-0.97,-1,-0.41,0.96,0.87,1,1,1,-0.83,0.58,1,-0.75,1,-1,0.92,-0.99,1,1,1,1,1,1,0.94,1,0.21,-1,0.92,1,1,1,1,1,1,1,-1,1,0.94,1,1,0.66,-1,1,1,1,0.95,1,-1,1,1,1,0,1,1,1,1,1,1,1,0.98,-1,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,1,-1,1,-1,-1,0.86,1,1,1,1,1,1,1,1,1,-1,1,0.4,-0.68,1,1,1,1,1,1,1,1,1,0.96,-0.15,1,1,1,1,-1,1,1,-1,-0.83,-1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,0.88,1
R-161,0.99,1,1,1,1,1,1,0.15,1,0.52,1,1,1,1,1,1,1,1,1,0.05,-0.37,1,1,-0.35,1,1,1,-0.41,1,1,0.61,1,1,1,1,1,1,0.6,1,0.91,0.55,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1,0.99,0.93,1,1,0.66,1,-0.17,1,1,1,1,1,1,0,1,1,1,1,0.31,1,0.61,1,1,-0.27,1,1,-0.16,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.1,1,1,0.85,1,0.96,1,-0.99,1,1,1,0.85,1,1,1,0.92,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,0.37,1,1,0.64,0.99,0.95,1,1,-0.66,1,1,1,1,1,1,0.96,1,1,-0.99,1,1,1,1
R-162,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
R-163,1,0.25,1,1,1,1,0.84,1,1,1,1,0.76,1,1,-0.95,1,1,1,1,0.33,0.99,1,1,1,1,1,1,1,1,1,0.96,1,1,1,0.87,0.96,1,1,1,1,1,1,1,0.99,1,1,0.98,1,0.99,0.87,1,0.99,1,1,1,1,1,1,1,0.97,1,0.63,1,1,1,1,1,1,1,1,0,1,1,1,1,0.92,1,0.99,1,1,0.9,0.98,1,1,1,1,0.38,1,1,1,1,1,1,0.99,0.94,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,0.99,1,1,0.99,0.98,1,0.91,1,1,1,1,1,1,0.65,1,1,0.4,1,1,1,1,0.99,1,1,1,1,1,1,1,1,0.64,1,1,1,1,1
R-164,1,1,1,1,1,1,1,1,1,1,0.42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,0.56,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,1,1,1,1,1
R-165,1,1,1,0.99,1,1,0.7,1,1,1,1,1,1,1,0.97,0.99,1,1,1,0.98,1,1,1,1,0.94,1,1,1,1,1,1,1,1,1,0.99,-0.86,1,1,1,1,1,1,1,1,1,1,1,1,1,0.71,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.94,0.99,1,1,1,1,1,1,1,1,1,1,1,0.9,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,1,1,1,1,1,1,1,1,1,0.1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,1,1,1,1,1
R-167,1,1,1,1,1,1,1,0.92,1,0.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.78,1,1,1,1,1,1,0.99,1,1,1,1,1,1,0.57,1,1,1,1,1,1,1,1,0.31,1,1,1,1,0,1,1,1,1,1,1,1,0.34,1,1,1,1,1,0.95,1,1,1,1,1,1,1,1,1,1,0.94,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,0.94,1,1,0.9,1,1,1,1
R-197,1,1,1,1,1,1,1,1,1,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.87,1,1,1,1,0.99,1,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1
R-198,0.99,0.99,1,1,1,1,1,0.97,1,1,1,1,1,1,0.82,1,1,1,1,-0.93,-0.05,0.75,1,0.45,1,1,1,1,0.99,1,0.46,1,1,1,1,1,1,-0.98,1,-0.85,1,1,1,0.64,1,1,0.98,1,1,1,1,0.95,1,0.77,1,1,0.99,0.99,1,0.99,1,-0.8,1,1,1,1,-0.43,0.98,0.61,1,0.92,1,1,1,1,0,1,1,-0.25,1,1,0.96,1,1,1,1,0.95,1,1,0.98,1,1,1,0.97,0.99,0.16,1,1,1,1,1,1,-0.4,1,1,0.97,0.91,0.97,1,1,0.99,1,1,1,1,1,1,1,-0.84,1,1,1,1,1,1,0.93,1,1,-0.86,0.97,1,1,1,0.18,1,1,1,1,1,1,1,1,1,0.13,1,1,0.97,1
R-200,-0.22,1,1,-1,1,1,0.1,0.94,1,1,1,-1,0.94,1,1,0.66,1,-1,-1,-0.13,1,0.79,1,1,0.99,-0.86,0.36,1,-1,1,-1,-0.09,0.05,1,0.98,0.78,1,1,1,0.97,1,-0.43,-1,-0.45,1,1,1,0.99,1,0.6,1,-0.79,1,0.76,1,1,0.2,-1,0.97,1,1,0.98,0.83,-1,1,1,0.96,-1,1,1,1,1,1,1,1,1,0,1,1,1,0.7,-1,1,0.96,1,1,1,1,-1,-1,0.76,-1,1,-1,-1,0.99,0.38,1,1,0.96,1,1,0.8,1,1,-0.99,1,0.84,-0.95,1,0.47,1,1,0.34,1,0.98,0.96,1,0.53,-1,1,1,1,1,-1,0.93,1,-1,-0.99,-1,1,1,1,1,1,-1,0.82,-1,1,1,1,1,0.81,1,1,1,0.21,1
R-201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,0.82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.99,1,1,1,-0.72,1,1,1,1,1,0.99,1,1,1,1,1,1,0,1,1,1,0.98,1,1,1,0.98,1,1,1,1,1,1,-0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7,1,0.59,1,1,1,1,1,1,1,-0.17,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1
R-202,1,1,1,1,1,1,1,0.92,1,0.08,1,1,1,1,1,1,1,1,1,-0.96,-0.9,0.99,1,-1,1,1,1,1,1,1,-0.17,1,1,1,1,1,1,0.87,1,0.94,0.98,1,1,0.15,1,1,1,1,1,1,1,0.97,1,1,1,1,1,1,1,-0.26,1,-1,1,1,1,1,1,1,-0.27,1,1,1,1,1,1,-0.25,1,1,0,1,1,0.92,1,1,1,1,1,1,1,1,1,1,1,0.97,0.98,-0.65,1,1,1,1,0.89,1,0.47,1,1,0.82,-0.12,1,1,1,1,1,1,1,1,1,1,1,-0.97,1,1,1,1,1,1,0.35,1,1,0.07,1,1,1,1,-0.84,1,1,1,1,1,1,0.85,1,1,-0.94,1,1,1,1
R-203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
R-204,1,1,1,0.93,1,1,-1,1,1,1,1,1,1,1,0.76,-0.47,1,1,1,0.99,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,-0.83,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-0.55,1,1,1,1,1,1,1,1,1,1,1,0.9,1,0.94,1,1,1,0.7,1,1,1,0,0.97,1,1,1,1,1,1,1,1,0.73,1,1,0.65,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,0.89,1,0.98,-0.39,1,1,1,1,0.51,1,1,1,-1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1
R-205,-0.89,1,1,-1,1,1,0.63,-0.59,1,0.92,1,-1,0.33,0.99,0.95,0.96,1,-1,-1,-0.52,0.97,-0.52,1,0.85,0.99,-1,0.42,0.65,-1,0.35,-1,-0.29,-0.99,1,0.7,0.68,1,1,1,0.13,0.99,-0.34,-1,-0.74,1,1,0.99,-0.06,1,0.8,1,-1,0.93,0.6,0.64,1,-0.95,-1,0.78,0.87,1,-0.05,0.39,-1,1,1,0.71,-1,-0.16,1,0.98,1,0.99,0.34,1,0.96,-1,0.98,0.92,1,0.97,0,1,0.35,1,0.99,1,1,-1,-1,0.88,-1,1,-1,-1,0.94,0.51,1,0.8,0.75,0.98,0.99,-0.82,1,0.98,-1,0.99,-0.66,-1,1,-0.66,1,0.94,-0.13,0.96,0.98,0.91,1,-0.18,-0.98,1,1,1,1,-1,-0.33,1,-1,-0.75,-1,0.95,0.95,1,0.92,0.92,-1,0.97,-1,1,0.97,0.99,1,-0.77,0.85,1,1,-0.21,1
R-206,1,1,1,1,1,1,1,1,1,0.99,0.53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.44,1,1,1,1,1,1,0.99,1,1,1,1,1,1,0.87,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,0.63,1,1,1,1,1,1,1,1,1,1,1,1,1,0.84,1,1,1,1,1,1,1
R-207,1,1,1,0.77,1,1,0.68,1,1,1,1,0.78,1,1,1,1,1,1,1,0.98,1,0.99,1,1,1,1,1,1,1,1,0.97,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.84,1,1,0.84,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96,1,1,1,1,0.35,1,0,1,0.98,1,1,0.98,1,1,1,1,0.59,0.46,1,1,1,1,1,1,1,1,1,1,0.73,1,1,1,1,1,1,1,0.91,1,1,1,1,1,0.99,1,1,1,1,0.99,1,1,1,-0.38,1,1,1,1,1,1,1,1,1,1,0.92,1,1,0.7,1,1,1,1,1
R-208,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.92,1,1,1,1,1,1,1
R-209,1,1,1,1,0.6,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,1,1,1,1,0.53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,1,0.99,1,0.98,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,0.99,1,1,1,1,1,1,1,1,0.91,1,1,0.94,1,1,1,1,1,1,1,0.7,1,0.99,1,1,1,1,1,0.27
R-210,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.26,1,1,1,1,0.91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.38,1,1,1,1,0.95,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
R-211,1,1,1,1,1,1,1,1,1,0.82,1,1,1,1,1,1,1,1,1,0.98,0.99,1,1,0.97,1,1,1,1,1,1,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.4,1,0.94,1,1,1,0.99,1,1,1,1,1,1,1,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.72,1,1,1,1,1,1,1
R-212,-0.7,1,1,-1,1,1,0.97,0.88,1,1,1,-1,0.97,1,1,1,1,-1,-1,-0.47,0.99,0.4,1,0.99,1,-1,-0.39,1,-0.95,0.97,-1,0.7,-1,1,1,1,1,1,1,0.86,1,-0.08,-1,0.65,1,1,1,0.72,1,1,1,-1,1,0.98,0.39,1,0.25,-1,1,0.79,1,0.91,1,-1,1,1,0.98,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,0.98,1,1,1,1,0,-1,1,-1,1,-1,-1,1,1,1,1,0.98,0.98,1,1,1,1,-1,1,-0.24,-0.98,1,0.86,1,1,0.6,0.97,1,1,1,0.96,-0.33,1,1,1,1,-1,1,1,-1,-0.2,-1,1,1,1,1,0.98,-0.99,1,-1,1,1,1,1,-0.52,1,1,1,-0.05,1
R-213,0.28,1,1,-1,1,1,1,0.99,1,0.93,1,-0.94,1,1,1,1,1,-1,-1,-0.82,0.97,0.65,1,0.99,1,-0.98,0.7,1,-0.79,1,-1,0.6,-0.98,1,1,1,1,1,1,0.99,1,0,-1,0.88,1,1,1,0.99,1,1,1,-1,1,0.98,1,1,0.12,-1,1,0.94,1,0.83,1,-1,1,1,1,-1,1,1,1,1,1,1,1,0.98,-1,1,1,1,1,-1,1,1,1,1,1,1,-1,0,1,-1,1,-1,-1,0.98,1,1,1,1,1,1,1,1,1,-1,1,-0.66,-0.99,1,1,1,1,0.98,1,1,1,1,0.44,-0.79,1,1,1,1,-1,1,1,-1,-0.96,-1,1,1,1,1,1,-1,1,-1,1,0.99,1,1,0.94,1,1,1,0.69,1
R-214,1,1,1,0.39,1,1,-1,1,1,1,1,1,1,1,1,-0.9,1,1,1,0.99,1,0.99,1,1,0.77,1,1,1,1,1,1,1,1,1,1,-0.08,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.89,1,0.99,1,1,1,1,1,1,0.65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.76,1,1,1,0.73,0.88,1,1,1,1,1,1,1,1,0,1,1,0.26,0.95,1,0.99,1,1,1,1,1,1,1,1,0.88,1,1,1,1,1,1,1,1,1,1,1,1,0.95,-0.57,1,1,1,1,0.35,1,1,1,-1,1,1,1,1,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1
R-215,-0.82,1,1,-1,1,1,1,0.61,1,1,1,0.82,1,1,1,1,1,-1,-1,-0.92,1,1,1,1,1,0.63,-0.88,1,-1,1,-1,-0.98,0.98,1,1,1,1,1,1,1,1,-0.69,-1,1,1,1,1,1,1,1,1,-0.95,1,1,1,1,-0.33,-1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,1,0,1,-1,-1,0.98,1,1,1,0.96,1,1,1,1,1,-1,1,1,0.92,1,0.99,1,1,1,1,1,1,1,0.99,-1,1,1,1,1,-1,1,1,-0.66,-0.38,-0.95,1,1,1,1,1,-1,1,-0.32,1,1,1,1,1,1,1,1,0.18,1
R-216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.83,1,1,1,1,1,1,1,1,1,1,1,1,-0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
R-217,-1,1,1,-1,1,1,0.81,-0.99,1,1,1,-1,0.86,1,0.88,0.84,1,-1,-1,-0.96,1,-0.2,1,1,0.97,-0.99,-1,1,-1,0.7,-1,-0.91,-0.74,1,0.95,0.59,1,1,1,-0.13,1,-1,-1,-0.53,1,1,1,0.78,1,0.75,1,-0.82,1,-0.43,0.95,0.93,-1,-1,0.86,1,1,0.87,0.4,-1,1,1,0.72,-1,1,1,0.99,1,0.9,1,1,0.97,-1,1,0.97,1,0.65,-1,1,0.59,1,1,1,1,-1,-1,0.26,-1,1,0,-1,0.76,0.02,1,1,-1,1,1,-0.66,1,1,-0.99,1,0.19,-0.98,1,-1,1,1,0.1,0.97,-0.04,0.88,1,-0.13,-0.99,1,1,1,1,-1,0.89,1,-1,-0.81,-1,1,0.49,1,0.99,1,-1,-1,-1,1,0.94,1,1,-0.32,1,1,1,-1,1
R-218,-0.81,1,1,-1,1,1,0.89,0.99,1,1,1,-1,0.97,1,0.99,1,1,-1,-1,0,0.96,0.4,1,0.94,1,-0.99,-0.65,1,-1,0.87,-1,-0.62,-0.98,1,0.98,0.94,1,1,1,0.9,1,-0.92,-1,0.21,1,1,1,-0.57,1,0.89,1,-1,1,0.77,0.9,0.99,-0.23,-1,1,0.4,1,0.62,0.91,-1,1,1,0.64,-1,1,1,0.94,1,0.99,1,1,0.99,-1,1,0.98,1,1,-1,1,0.46,1,1,0.98,1,-1,-1,0.95,-1,1,-1,0,0.96,0.89,0.98,1,0.77,0.88,1,0.96,1,0.97,-1,1,-0.88,-1,1,0.82,1,1,0.23,0.68,1,0.92,1,0.9,-0.96,1,1,1,1,-1,1,1,-0.99,0.25,-1,1,0.73,1,0.94,0.97,-1,0.76,-1,0.68,0.96,0.99,0.99,-0.61,0.96,1,1,-0.16,0.99
R-219,0.98,1,1,1,1,1,1,0.44,1,1,1,1,1,1,1,1,1,0.85,1,-0.88,-0.91,0.96,1,-0.26,1,1,1,1,0.64,1,0.85,0.82,1,1,1,1,1,0.93,1,-0.21,1,0.95,0.93,-0.51,1,1,1,1,1,1,1,0.98,1,0.24,1,1,0.92,0.93,1,1,1,-0.23,1,0.71,1,1,0.87,0.86,-0.1,1,1,1,1,1,1,0.16,0.99,1,-0.65,1,1,0.94,1,1,1,1,1,1,1,0.98,1,0.98,1,0.76,0.96,0,1,1,1,0.99,1,1,-0.77,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,0.35,1,1,1,1,1,1,0.97,1,0.98,-0.55,0.96,1,1,1,-0.98,1,1,1,1,1,1,1,1,1,-0.99,1,1,1,1
R-220,1,1,1,-0.54,1,1,-1,1,1,1,1,1,0.91,1,0.3,-0.02,1,1,1,0.99,1,0.97,1,1,0.96,1,1,1,1,0.99,0.99,1,1,1,0.99,0.64,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.43,1,0.91,1,1,1,1,1,0.98,-0.04,1,1,1,-0.03,1,1,1,1,1,1,1,1,1,1,1,1,1,0.38,1,1,1,0.99,0.51,1,1,1,1,1,1,1,1,0.99,1,1,0.02,0.89,1,0,1,1,1,1,1,1,1,1,0.91,1,1,1,1,1,1,1,0.37,1,1,1,1,0.96,0.03,1,1,1,1,0.07,1,1,1,-1,1,1,1,1,1,1,0.93,1,1,1,1,1,1,1,1,1,1,1,1
R-221,1,1,1,1,1,1,1,1,1,1,1,1,1,0.84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,0,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
R-222,1,1,1,1,1,1,1,0.97,1,-0.4,1,1,1,1,1,1,1,1,1,0.99,0.95,1,1,0.99,1,1,1,-0.68,1,1,0.83,1,1,1,1,1,1,1,1,1,0.45,1,1,1,1,0.79,1,1,1,1,1,1,0.67,1,1,1,1,1,1,-1,1,0.95,1,1,1,1,1,1,0.85,1,1,1,1,0.94,1,1,1,1,1,1,1,0.8,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-0.95,1,1,1,1,1,-0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.86,1,1,1,0.92,1,1,0.74,1,1,1,1,1,1,-0.98,1,1,0.99,1,1,1,1
R-223,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-0.29,1,-0.93,1,1,1,1,1,1,-0.98,1,-0.01,1,0.91,0.56,1,1,1,1,1,1,1,0.52,1,0.66,1,1,1,1,1,1,1,1,1,0.96,1,0.99,1,1,-0.99,1,1,1,1,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,0.96,1,1,1,1,0.75,1,1,1,1,1,1,0.98,1,1,0.96,1,-1,0.77,0.99,1,1,1,0,1,1,1,1,1,1,1,1,1,1,-0.99,1,1,1,1,1,1,1,0.92,0.72,1,1,1,1,0.98,1,1,1,0.88,1,1,1,1,1,1,0.98,-0.86,1,1,1,1,1,1,1,1,1,-0.79,1
R-224,1,1,0.89,1,1,1,1,1,0.99,-0.92,0.87,1,1,1,1,1,1,1,1,0.98,0.99,1,1,0.92,1,1,1,-0.26,1,1,0.27,1,1,1,1,1,1,1,1,1,-0.99,1,1,1,1,0.99,1,1,1,1,0.91,0.91,0.75,1,1,1,1,1,1,-1,1,0.94,1,1,1,1,1,1,0.96,1,1,0.97,1,1,1,1,1,1,0.89,1,1,0.98,0.98,1,1,1,1,1,0.98,1,1,1,1,1,0.88,1,1,1,-0.95,1,0,1,1,1,1,1,-0.55,1,1,-0.74,1,1,0.93,1,1,1,1,1,0.9,1,1,1,0.83,1,1,1,0.99,1,1,1,0.64,1,1,0.98,1,1,1,1,1,1,-0.98,1,1,0.98,1,1,1,1
R-281,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
R-282,0.89,1,1,0.91,1,1,-0.13,-0.92,1,1,1,1,1,1,0.98,0.99,1,1,1,-0.98,0.37,-0.37,1,0.09,0.96,1,1,1,0.72,1,0.66,0.99,1,1,1,0.85,1,1,1,0.87,1,1,1,0.27,1,1,1,1,1,0.99,1,0.96,1,0.01,1,1,0.68,0.58,1,0.99,1,-0.92,1,0.97,1,1,0.92,1,-0.99,1,0.99,1,1,1,1,-0.4,0.8,1,0.47,1,1,-0.82,1,1,1,1,1,1,1,1,1,1,1,-0.66,0.96,-0.77,1,1,1,1,1,1,0,1,1,0.61,0.98,1,1,1,0.84,1,1,1,1,1,1,1,-1,0.04,1,1,1,1,0.51,-0.8,1,1,-1,1,1,1,1,0.36,1,0.96,1,1,1,1,1,1,1,-0.97,1,1,0.98,1
